ESTC number,Library name,Lib VIAF id,shelfmark,copynote,prov info,prov info ID
S111181,Henry E. Huntington Library and Art Gallery,147236009,69327,Binding signed by Macdonald. Inlaid.,"collated by John Philip Kemble, 1804; Devonshire copy",
S111181,Henry E. Huntington Library and Art Gallery,147236009,69326,Binding signed by C. Murton.,bookplate and stamp of the Bridgewater library,
S111181,British Library,149072094,C.34.l.14,null,null,
S111181,Harvard University Houghton Library,150194316,STC 22294,"White copy. H.C. Bartlett &amp; A.W. Pollard, Census, p. 46 (no. 382)",null,
S111181,Princeton University,156870602,[Shelfmark not available],[CM],null,
S111180,National Library of Scotland,127333235,Bute.517,tp. torn with some loss of imprint,null,
S111180,"Oxford University, Bodleian Library",129788129,Arch. G e.28,null,null,
S111180,"Oxford University, Bodleian Library",129788129,Arch. G e.27,null,null,
S111180,Edinburgh University Library,130215259,[Shelfmark not available],[CM],null,
S111180,"Boston Public, Main",133435180,[Shelfmark not available],null,null,
S111180,"Boston Public, Main",133435180,G.176.39,null,null,
S111180,University of Pennsylvania Van Pelt-Dietrich,136552639,Furness PR2750 .A32 1631,-t.p.,null,
S111180,University of Pennsylvania Van Pelt-Dietrich,136552639,Furness PR2750 .A32 1631,#NAME?,null,
S111180,Pierpont Morgan Library,139346252,W 08 C,null,"Halliwell (Sotheby, June 13, 1859 n. 334 to Boone for) Sir William Tite (sale May 18 1874, n. 2782 Â£4.10 to) Nattili &amp; Bond, Asay (sold, Dec. 1881 to), Theodore Irwin, Pierpont Morgan. Binding: Purple morocco by J. Clarke",
S111180,Pierpont Morgan Library,139346252,W 08 C,null,"Halliwell (Sotheby, June 13, 1859 n. 334 to Boone for) Sir William Tite (sale May 18 1874, n. 2782 £4.10 to) Nattili &amp; Bond, Asay (sold, Dec. 1881 to), Theodore Irwin, Pierpont Morgan. Binding: Purple morocco by J. Clarke",
S111180,New York Public Library,143013888,"*KC 1631 (Shakespeare, W. Wittie And Pleasant Comedie Called The Taming of the Shrew)",null,null,
S111180,"Yale University, Beinecke Rare Book and Manuscript Library",146865135,Eliz 195,"Eliz 195: Bound by F. Bedford in rust goatskin, gold tooling on cover and spine, gilt edges. Gift of Alexander S. Cochran, December 1911.",null,
S111180,Henry E. Huntington Library and Art Gallery,147236009,69368,Binding signed by A. Motte.,Pope copy; bookplate of E.D. Church,
S111180,British Library,149072094,C.34.k.59,null,null,
S111180,British Library,149072094,C.12.g.25,null,null,
S111180,Harvard University,232866267,[Shelfmark not available],[CM],null,
S111180,Cambridge University Trinity College,119148995978659751937,Capell Q.10[5],null,null,
S111180,Folger Shakespeare,427145424588186831488,STC 22327 Copy 2,"cs0900. MS. bibliographical note on front fly-leaf. Gathering A is re-margined. Cropped at head, affecting some running titles. Red goatskin binding, signed by Frank Bedford.","Provenance: James Orchard Halliwell-Phillipps copy (with MS. note in his hand); bookplate of Warwick Castle, Shakespeare Library",
S111180,Folger Shakespeare,427145424588186831488,STC 22327 Copy 4,"cs299. Imperfect: wanting the title leaf, leaves F1, F4, and I4. The corner of E2 is torn away, affecting text and direction-line. Trimmed, affecting direction-lines. Olive goatskin binding, signed by Maltby, Oxford.",possibly James Orchard Halliwell-Phillipps - Maurice Jonas copy (Folger file),
S111180,Folger Shakespeare,427145424588186831488,STC 22327 Copy 3,"cs71. MS. note on title leaf verso: ""This Comedy called the tameing of the shrew, is / now acted by ye Kings Maiestyes servant, at / ye Theater Royall with great [ ] con' and / many [ ] and mirth, / among which is a [ ] art of a / blount Scotch man [ ]tted [ ] []t vpon Petruchio / which is exqusit [ ] []cted by Mr Lacy / In the yeare 1664.""; a few marginal MS. notes in the same hand. Trimmed, affecting headlines; some repairs to gatherings H and I, affecting direction-lines. Half bound in red goatskin, signed by Zaehnsdorf",null,
S111180,Folger Shakespeare,427145424588186831488,STC 22327 Copy 1,"cs452. The title leaf is re-margined. Green goatskin binding, signed by Frank Bedford.",autograph of James Orchard Halliwell-Phillipps; Marsden J. Perry copy,
S111180,Brown University John Hay Library,1879145424706586830457,Rare PR2750 .A32,null,null,
S111179,"United States, Library of Congress",127274608,[Shelfmark not available],imp. [CM],null,
S111179,Oxford University Bodleian Library,129788129,[Shelfmark not available],[CM],null,
S111179,Edinburgh University Library,130215259,De.3.73,null,From the William Drummond of Hawthornden Collection,
S111179,"Yale University, Beinecke Rare Book and Manuscript Library",146865135,Eliz 191,Bound in red,null,
S111179,"Yale University, Beinecke Rare Book and Manuscript Library",146865135,Eliz 191,"On H? is ms. ""Anagr. Elisabeth Rotton Her lot is to be neat."" There are annotations for performance throughout in a seventeenth-century hand. Signature of George Steevens on the title page, and a few notes by him in the text; this copy was possibly lot 1299 in the Steevens sale by King, 21 May 1800. Bookstamp of the Duke of Roxburghe on the title page; sold as lot 3860 in the Roxburghe sale by Evans, 6 June 1812. This copy was later owned by the Marquis of Blandford, and in his sale (White Knights library) by Evans, 30 June 1819, it was lot 3957. This copy also appears, as an anonymous property, in a sale by Evans, 25-29 January 1830, lot 796. It was then owned by George Daniel, whose monogram is stamped on the cover; in his sale by Sotheby's, 26 July 1864, it was lot 1430..",null,
S111179,"Yale University, Beinecke Rare Book and Manuscript Library",146865135,Eliz 191,"On Hï¿½ is ms. ""Anagr. Elisabeth Rotton Her lot is to be neat."" There are annotations for performance throughout in a seventeenth-century hand. Signature of George Steevens on the title page, and a few notes by him in the text; this copy was possibly lot 1299 in the Steevens sale by King, 21 May 1800. Bookstamp of the Duke of Roxburghe on the title page; sold as lot 3860 in the Roxburghe sale by Evans, 6 June 1812. This copy was later owned by the Marquis of Blandford, and in his sale (White Knights library) by Evans, 30 June 1819, it was lot 3957. This copy also appears, as an anonymous property, in a sale by Evans, 25-29 January 1830, lot 796. It was then owned by George Daniel, whose monogram is stamped on the cover; in his sale by Sotheby's, 26 July 1864, it was lot 1430..",null,
S111179,Henry E. Huntington Library and Art Gallery,147236009,69362,probably bound by Murton,bookplate of the Bridgewater library,
S111179,British Library,149072094,C.12.g.18,null,null,
S111179,Harvard University,232866267,[Shelfmark not available],[CM],null,
S111179,Folger Shakespeare,427145424588186831488,STC 22323 Copy 1,"cs0532. All leaves are inlaid; the title leaf and final leaf are mounted. G1 damaged slightly, affecting text. Green goatskin, signed by Macdonald.","John Philip Kemble copy, with MS. note in his hand on the t.p.: ""Collated &amp; Perfect J.B.K. 1798""; Devonshire Library copy; Huntington Library duplicate copy",
S111179,Folger Shakespeare,427145424588186831488,STC 22323 Copy 4,"Warwick. A fragment: wanting all before gathering I, except for small fragments of the lower part of gathering G. Burn-hole on K1, affecting text. MS. notes on the inside wrappers. Stabbed; marbled paper wrappers with MS. title label; stored in a case.","inscribed on front fly-leaf: ""G. [George] Steevens""; inscribed on M2v: ""John Fry 1810 June 14th""; John Orchard Halliwell-Phillipps copy, with MS. bibliographical note in his hand; bookplate of Warwick Castle, Shakespeare Library",
S111179,Folger Shakespeare,427145424588186831488,STC 22323 Copy 2,"Leaf E1 damaged and repaired, with some words supplied in facsimile; lower margin of M2, blank except for ornament, torn away and repaired. Trimmed, affecting some headlines. Stained. A few MS. notes. Red goatskin binding, signed by Hayday.","inscribed at end: ""Willm [William] Penn his booke""; armorial bookplate of William Gott (motto ""nec temere nec timide"")",
S111179,Folger Shakespeare,427145424588186831488,STC 22323 Copy 3,"cs0900. Imperfect: wanting gathering E. The title leaf is backed. The final leaf, M2, is damaged and backed, affecting text and headlines, and obscuring MS. markings on verso. Half bound in dark blue goatskin.",Charles Jennens copy; William P.A. Curzon copy; Howe family library copy,
S111178,Oxford University Bodleian Library,129788129,[Shelfmark not available],[CM],null,
S111178,"Yale University, Beinecke Rare Book and Manuscript Library",146865135,Eliz 183,"Eliz 183: Bound in marbled-paper wrappers. Bibliotheca Heberiana stamp on endpaper, lot 5442 in the Heber sale, Sotheby's, 28 June 1834; on the endpaper is a note, probably by Heber, stating that this copy had come from ""Bindleys Sale Pt. III 2040--Feb. 1819."" Eliz 183: This copy was also owned by George Daniel, and it was sold with his books, by Sotheby's, on 26 July 1864, lot 1425. The Huth copy (with bookplate) acquired by Mr. Cochran in November 1911 prior to the public sale. Gift of Alexander S. Cochran, December 1911.",null,
S111178,Henry E. Huntington Library and Art Gallery,147236009,69334,Binding signed by C. Murton.,bookplate of the Bridgewater library,
S111178,British Library,149072094,C.34.k.29,null,null,
S111178,Harvard University Houghton Library,150194316,STC 22302,"Huntington copy. H.C. Bartlett &amp; A.W. Pollard, Census, p. 66, (no. 531.)",null,
S111177,National Library of Scotland,127333235,Bute.522,-final blank leaf,null,
S111177,Oxford University Bodleian Library,129788129,[Shelfmark not available],[CM],null,
S111177,University of Texas,141925602,Pforz 898,-blank,null,
S111177,University of Texas,141925602,Pforz 898,#NAME?,null,
S111177,"Yale University, Beinecke Rare Book and Manuscript Library",146865135,Eliz 197,"Eliz 197: Bound by Lewis in brown goatskin, gold tooling on cover and spine, gilt edges; initials of George Daniel on upper side of cover. Sold with Daniel's books by Sotheby's, 26 July 1864, lot 1439. The Huth copy (with bookplate) acquired by Mr. Cochran in November 1911 prior to the public sale. Gift of Alexander S. Cochran, December 1911.",null,
S111177,Henry E. Huntington Library and Art Gallery,147236009,56669,Binding signed by F. Bedford. D2 mutilated.,Pope copy; bookplate of Robert Hoe,
S111177,British Library,149072094,C.34.k.61,null,null,
S111177,Harvard University,232866267,[Shelfmark not available],[CM],null,
S111177,Victoria and Albert Museum National Art Library,12145424490986830227,[Shelfmark not available],[CM],null,
S111177,Cambridge University Trinity College,119148995978659751937,Capell T.7[1],-Final blank,null,
S111177,Cambridge University Trinity College,119148995978659751937,Capell T.7[1],#ERROR!,null,
S111177,Folger Shakespeare,427145424588186831488,STC 22332,"cs1401. Wanting the blank leaf. Trimmed thoughout, affecting first line of title and headlines. Red goatskin binding, signed by Frank Bedford.","possibly Thomas Corser copy (lacking the Corser collation mark); armorial bookplate of Frederick Locker-Lampson (motto ""fear God fear nought""); bookplate (and MS. shelf-mark) of Elihu Dwight Church; Huntington Library duplicate copy; bookplate of Herschel V. Jones",
S111176,Oxford University Bodleian Library,129788129,[Shelfmark not available],[CM],null,
S111176,Henry E. Huntington Library and Art Gallery,147236009,69361,"Binding signed by Birdsall, Northampton. Inlaid.","Stace copy; collated by John P. Kemble, 1809; Devonshire copy",
S111176,British Library,149072094,C.34.k.55,slightly mutilated,null,
S111176,Cambridge University Trinity College,119148995978659751937,Capell R.20[2],null,null,
S111176,Folger Shakespeare,427145424588186831488,STC 22322,"Imperfect: wanting the title leaf, [A]3, H2.3, I4 and K1-3; [A]2,3, I4 and K1-3 are supplied in facsimile; H2 and H3, not conjugate, are supplied from another copy (?). Repaired throughout: some text and direction-lines are in facsimile. MS. note on final page. Red goatskin binding.","possibly Richard Heber - Benjamin H. Bright copy (Folger file); Vernon family library copy (with armorial bookplate bearing initials 'W V' (i.e. William Vernon) and motto 'semper viret'); June 1918 Sotheby, London sale (via Maggs), lot 464",
S111174,University of Illinois,123824539,[Shelfmark not available],[CM],null,
S111174,Oxford University Bodleian Library,129788129,Arch. G d.42 (1),,null,
S111174,Edinburgh University Library,130215259,[Shelfmark not available],null,null,
S111174,University of Texas,141925602,Pforz 890,null,null,
S111174,New York Public Library,143013888,"*KC 1619 (Shakespeare, W. / Midsommer nights / dreame)",,null,
S111174,Shakespeare Birthplace Trust,144533424,SR 35.23,83011994,"bookplate of Frederick Locker, depicts melancholy fool (designer HSM); purchased from Bernard Quaritch, 1908; Binding: Bound in red morocco by Bedford",
S111174,"Yale University, Beinecke Rare Book and Manuscript Library",146865135,Eliz 184,"Eliz 184: Bound by RivierÌ€e in dark green goatskin, gilt edges. Gift of Alexander S. Cochran, December 1911.",null,
S111174,Henry E. Huntington Library and Art Gallery,147236009,69335,Binding signed by Riviere &amp; Son.,Sabin - Halsey copy,
S111174,British Library,149072094,C.34.k.30,null,null,
S111174,British Library,149072094,C.12.g.30,null,null,
S111174,Harvard University Houghton Library,150194316,STC 22303,null,null,
S111174,Eton College Library,158913221,[Shelfmark not available],[CM],null,
S111172,Henry E. Huntington Library and Art Gallery,147236009,59072,Binding signed by Macdonald. T.p. mounted; remaining text inlaid; cropped at head; -blank.,"signature of Hum: Dyson; collated by John Philip Kemble, 1798; Devonshire copy",
S111172,British Library,149072094,163.i.12,Inlaid,null,
S111172,Private Collections,,[Shelfmark not available],"Elizabethan Club, Yale University [CM]",null,
S111150,Oxford University Bodleian Library,129788129,[Shelfmark not available],[CM],null,
S111150,University of Texas,141925602,Pforz 885,null,null,
S111150,Henry E. Huntington Library and Art Gallery,147236009,69130,"Binding signed by F. Bedford. T.p., E1,2 partly in facsimile.",bookplates of Frederick Locker and E.D. Church,
S111150,Henry E. Huntington Library and Art Gallery,147236009,88019,Binding signed by C. Murton.,bookplate and stamp of the Bridgewater library,
S111150,British Library,149072094,[Shelfmark not available],[CM],null,
S111150,Harvard University,232866267,[Shelfmark not available],[CM],null,
S111147,Newberry,79547206,[Shelfmark not available],[CM],null,
S111147,University of Illinois,123824539,822.33 W5 1619,Imperfect: Lacks all leaves following Q4; title page mounted.,null,
S111147,National Library of Scotland,127333235,Bute.504,Pericles only,null,
S111147,National Library of Scotland,127333235,Bute.532,-Pericles,null,
S111147,Haverford College Library,127575484,54,null,null,
S111147,Oxford University Bodleian Library,129788129,[Shelfmark not available],imp. [CM],null,
S111147,Edinburgh University Library,130215259,[Shelfmark not available],null,null,
S111147,"Boston Public, Main",133435180,[Shelfmark not available],null,null,
S111147,University of Pennsylvania Van Pelt-Dietrich,136552639,Furness PR2750 .A30 1619,"wanting leaves 2A1-2A4, 2B1",null,
S111147,University of Pennsylvania Van Pelt-Dietrich,136552639,Furness PR2750 .A30 1619,"wanting leaves 2A1-2A4, ",,
S111147,Auckland Public Library,138381447,RBR.1619.SHAK.Safe,null,null,
S111147,Pierpont Morgan Library,139346252,[Shelfmark not available],[CM],null,
S111147,University of Texas,141925602,Pforz 884,"-""The late, and much admired play, called, Pericles, Prince of Tyre""",null,
S111147,New York Public Library,143013888,"*KC 1619 (Shakespeare, W. Shakespeare's plays; Pavier's collected edition, 1619)",Copy 2,null,
S111147,New York Public Library,143013888,"*KC 1619 (Shakespeare, W. Whole Contention betweene the two Famous Houses, Lancaster and Yorke)",null,null,
S111147,New York Public Library,143013888,"*KC 1619 (Shakespeare, W. Late, And much admired Play, Called, Pericles, Prince of Tyre)",Copy 1,null,
S111147,"Yale University, Beinecke Rare Book and Manuscript",146865135,Eliz 200,Pericles wanting,null,
S111147,"Yale University, Beinecke Rare Book and Manuscript",146865135,Eliz 189,Pericles only,null,
S111147,"Yale University, Beinecke Rare Book and Manuscript Library",146865135,1977 2546,"BEIN 1977 2546: Imperfect: t.p. and last leaf wanting; supplied in facsimile. Library has: Late, and much admired play, called, Pericles, Prince of Tyre",null,
S111147,Henry E. Huntington Library and Art Gallery,147236009,79883,Binding signed by F. Bedford. -chi1.,Capell copy; bookplates of Frederick Locker and E.D. Church,
S111147,Henry E. Huntington Library and Art Gallery,147236009,69347,"Binding signed by the Club Bindery, 1901; Leon Maillard finisher. ""Pericles"" only; ""9"" in imprint date shows penwork.",bookplate of E.D. Church,
S111147,British Library,149072094,C.34.K.38.(1),-tp.,null,
S111147,British Library,149072094,C.12.h.6,null,null,
S111147,British Library,149072094,C.34.K.38.(1),#NAME?,null,
S111147,Birmingham Central Libraries,149618033,S324.1619,-all after sig. Q4; MS. ink note on slip bound in front; 65975,null,
S111147,Birmingham Central Libraries,149618033,S324.1619,-all after sig. H4; MS. ink note on slip bound in front; 1959,null,
S111147,Harvard University Houghton Library,150194316,HEW 6.9.34,"Imperfect: all after Q4 (p. [129]-[196]) wanting. ; From the library of George Steevens, with his MS ownership annotation on title-page. ; Full red morocco with title stamped in gilt on spine.",null,
S111147,Cambridge University Trinity College,119148995978659751937,Capell Q.12[3-4],null,null,
S111147,Folger Shakespeare,427145424588186831488,STC 26101 Copy 1,"cs534. MS. note on chi1v. E4 torn and repaired, affecting text. Fanfare-style binding by the Club Bindery 1907, Leon Maillard, finisher; stored in a case; all edges gilt.","Provenance: Robert Hoe copy (gilt monogram on front paste-down ""RH""); collated at Quaritch by F. S. Ferguson",
S111147,Folger Shakespeare,427145424588186831488,STC 26101 Copy 5,"cs82. Imperfect: lacking all after Q4 (parts 1 and 2 only). Wormed and repaired, and Q4 torn, affecting text. Half calf binding",null,
S111147,Folger Shakespeare,427145424588186831488,STC 26101 Copy 4,cs0900(1). Imperfect: lacking all after Q4 (parts 1 and 2 only). Red goatskin binding by C. Lewis with gilt-tooled spine and turn-ins,null,
S111147,Folger Shakespeare,427145424588186831488,STC 26101 Copy 12,"Imperfect: lacking all before R1 (part 3 only, without t.p.). 2A3 torn and repaired, affecting text. Disbound; unsewn with disjunct leaves; circular label pasted to 2B1v with MS. ""[z/1812 ?]""",null,
S111147,Folger Shakespeare,427145424588186831488,STC 26101 Copy 13,"cs136. Imperfect: lacking sigs.A-B, and all after Q4. MS. letter signed ""J. O. Halliwell [Phillipps]"" is tipped to front end-paper. Half black goatskin binding",null,
S111147,Folger Shakespeare,427145424588186831488,STC 26101 Copy 14,"cs335. Imperfect: lacking all before I1, and all after Q4 (part 2 only). MS. marking of provenance(?) pencilled on back fly-leaf: ""Jn. P."". L4 foxed and N3v stained, affecting text. Disbound, stored in a case",null,
S111147,Folger Shakespeare,427145424588186831488,STC 26101 Copy 15,"cs157. Imperfect: lacking all before I1, sig.O, P1.4 and all after Q4. Some leaves foxed, affecting text. Half calf binding",null,
S111147,Folger Shakespeare,427145424588186831488,STC 26101 Copy 16,"TR7H4. Imperfect: lacking sig.A, C2.3, and all after D4. Cropped, affecting running titles. Half sprinkled calf binding with marbled paper boards and end-papers",null,
S111147,Folger Shakespeare,427145424588186831488,STC 26101 Copy 6,"cs0900(2). Imperfect: lacking all after Q4 (parts 1 and 2 only). Burn hole on F3. Q1 torn, affecting text. Half blue goatskin binding.",Jennens - Curzon-Howe library copy (Folger files),
S111147,Folger Shakespeare,427145424588186831488,STC 26101 Copy 9,cs900. Imperfect: lacking all before chi1 (part 3 only). Half blue goatskin binding.,Jennens - Curzon-Howe library copy (Folger files),
S111147,Folger Shakespeare,427145424588186831488,STC 26101 Copy 11,"Trunk7H4. Imperfect: lacking all before R1 (part 3 only, without t.p.). MS. note on front paste-down concerning MS. corrections, by J. O. Halliwell-Phillipps; MS. corrections to text (possibly in Theobald's hand?). 2B1 trimmed and backed. Rebound in half red sheepskin.",J. O. Halliwell-Phillipps copy; bookplate of the Warwick Shakespeare Library,
S111147,Folger Shakespeare,427145424588186831488,STC 26101 Copy 2,"cs0361. MS. note on front fly-leaf: ""Plays taken out of this volume..."". Some leaves stained or foxed, and Y3 torn away, affecting text. Some leaves silked. Rebound; previously bound with five other Pavier quartos of 1619 in a 19th century calf binding.","inscription on front fly-leaf: ""NB. Miss Orlebars made me a present of this book with a view that I shd. give it to my friend Mr. Garmer, who was collecting Quarto Editions of Shakespeare plays. I accordingly sent it [down to] him at Cambridge,...he was already possessed of every play in it except King Lear, which he therefore took out...May 8. 1763. G. P. [Bishop Percy]; armorial bookplate of the Earl of Caledon (motto ""per mare per terras"") [see Van Lennep article, Shakespeare Quarterly, 1964]",
S111147,Folger Shakespeare,427145424588186831488,STC 26101 Copy 3,"cs0822. MS. table of contents. Bound with seven other 1619 Shakespeare quartos (shelf-marks: STC 22303 Copy 5, 18796 Copy 4, 22297 Copy 3, 22291 Copy 4, 22293 Copy 5, 22300 Copy 4, and 22341 Copy 4). Mis-bound: the first five works after STC 26101 are bound between leaves Q4 and chi1. Contemporary calfskin binding, stamped in gilt with ""Edward Gwynn"" on front cover; stored in a case.","Edward Gwynn copy (cf. Jackson, W.A. Records of a bibliographer ... Cambridge, 1967. pp. 115-119); anonymous armorial bookplate (of Goetz Wrisberg?: cf. bookplate in Folger shelf-mark STC 4998; cf. Folger worksheet for STC 4998); Marsden J. Perry copy; inscribed on front free endpaper: ... ""From the library of Marsden J. Perry ... Purchased July 22, 1919. A.S.W. Rosenbach""",
S111147,Folger Shakespeare,427145424588186831488,STC 26101 Copy 10,"cs424. Imperfect: lacking all before chi1 (part 3 only). MS. note by J. O. Halliwell-Phillipps on front fly-leaf; MS. corrections to text in two hands (some by Bishop Warburton, according to Halliwell-Phillipps); MS. numbered ""2268"" on t.p. Brown goatskin binding with gilt tooled spine and borders, by R. Riviere (?); all edges gilt.",armorial stamp of the Duke of Roxburghe; J. O. Halliwell-Phillipps copy; W. C. Van Antwerp copy (Folger files),
S111147,Folger Shakespeare,427145424588186831488,STC 26101 Copy 8,"Imperfect: lacking all before chi1 (part 3 only). MS. markings in sig.R, including corrections to text on R2v. Red goatskin binding with gilt borders and turn-ins, by Hayday; all edges gilt.","armorial bookplate of William Gott (motto ""nec temere nec timide"")",
S111147,Folger Shakespeare,427145424588186831488,STC 26101 Copy 7,"cs0900(3). Imperfect: lacking all after Q4 (parts 1 and 2 only). MS. note on N1v. Trimmed, affecting some headlines. Stained, affecting text. Red goatskin binding with gilt turn-ins, by Hayday; all edges gilt.","armorial bookplate of Sheffield Grace (motto ""concordant nomine facta""); J. O. Halliwell-Phillipps copy (MS. note on front free end-paper); bookplate of the Warwick Shakespeare Library",
S111147,Private Collections,,Scot. 1: Silver Room: Contentions (1),null,null,
S111146,"Oxford University, Bodleian Library",129788129,Arch. G e.14,null,null,
S111146,"Oxford University, Bodleian Library",129788129,Arch. G d.43 (4),null,null,
S111146,Henry E. Huntington Library and Art Gallery,147236009,79884,"Binding signed by Birdsall, Northampton. Inlaid.","collated by John P. Kemble, 1809; Devonshire copy",
S111146,Henry E. Huntington Library and Art Gallery,147236009,79885,Binding signed by C. Murton. MS. proof corrections.,bookplate of the Bridgewater library,
S111142,University of Illinois,123824539,[Shelfmark not available],[CM],null,
S111142,National Library of Scotland,127333235,Bute.508,var. -leaves B2 and B3,null,
S111142,National Library of Scotland,127333235,Bute.509,-tp and leaf K4,null,
S111142,"Oxford University, Bodleian Library",129788129,Arch. G e.20,null,null,
S111142,"Oxford University, Bodleian Library",129788129,Arch. G d.46,null,null,
S111142,Edinburgh University Library,130215259,[Shelfmark not available],[CM],null,
S111142,"Boston Public, Main",133435180,G.176.34,null,null,
S111142,University of Texas,141925602,Pforz 896,null,null,
S111142,New York Public Library,143013888,"*KC 1634 (Shakespeare, W. Life And Death Of King Richard The Second)",null,null,
S111142,"Yale University, Beinecke Rare Book and Manuscript Library",146865135,Ig 6qd 634,"BEIN Ig 6qd 634: Imperfect: some leaves bled at bottom; t.p. frayed, and the missing imprint-date supplied in type-facsimile. Bookplates of Edward Vernon Utterson, John Kershaw, and Frank J. Hogan.",null,
S111142,Henry E. Huntington Library and Art Gallery,147236009,69349,Binding signed by Hammond. MS. notes.,signature of J. Edgerton; Sewall copy; bookplate of E.D. Church,
S111142,British Library,149072094,C.34.k.45,null,null,
S111142,British Library,149072094,C.12.g.19,"-t.p. and 3 following leaves, supplied in MS.",null,
S111142,Harvard University Houghton Library,150194316,STC 22313,"White copy. H.C. Bartlett &amp; A.W. Pollard, Census, p. 87 (no. 721.)",null,
S111142,Cambridge University Trinity College,119148995978659751937,Capell R.20[5],null,null,
S111142,Oxford University Worcester College Library,226146462546127771059,[Shelfmark not available],-A1 [CM],null,
S111142,Folger Shakespeare,427145424588186831488,STC 22313 Copy 1,"cs452. Greg 141(h*). Trimmed, affecting headlines. Gathering E is creased and misprinted at the head, affecting headlines. Olive goatskin binding, signed by Maltby, Oxford.",Provenance: James Orchard Halliwell-Phillipps copy (with autograph initials on the back free endpaper); Marsden Perry copy (Folger file),
S111142,Folger Shakespeare,427145424588186831488,STC 22313 Copy 2,"cs135. Greg 141(h*). A made-up copy: the original title leaf is wanting; A1 is supplied from another copy and repaired at the tail. Elaborately gilt-tooled red goatskin binding, with green silk doublures, signed by Riviere &amp; Son.",possibly Maurice Jonas copy (Folger file),
S111141,National Library of Scotland,127333235,Bute.507,null,null,
S111141,Haverford College Library,127575484,51,null,null,
S111141,Oxford University Bodleian Library,129788129,Arch. G d.39 (1),null,null,
S111141,Edinburgh University Library,130215259,[Shelfmark not available],lacks F3 [CM],null,
S111141,"Boston Public, Main",133435180,[Shelfmark not available],[CM],null,
S111141,University of Texas,141925602,Pforz 895,null,null,
S111141,New York Public Library,143013888,"*KC 1615 (Shakespeare, W. Plays. Richard II. 1615.Tragedie of King Richard the Second)",,null,
S111141,Henry E. Huntington Library and Art Gallery,147236009,69339,-Blank.,signature of George Steevens; stamp of Roxburghe arms; bookplates of Frederick Locker and E.D. Church; collated by Jno. J. Marsh,
S111141,Henry E. Huntington Library and Art Gallery,147236009,69339,#NAME?,signature of George Steevens; stamp of Roxburghe arms; bookplates of Frederick Locker and E.D. Church; collated by Jno. J. Marsh,
S111141,British Library,149072094,C.34.k.44,null,null,
S111141,Harvard University Houghton Library,150194316,STC 22312,"Imperfect: lacks K2 and K3, suppd   in MS. a",null,
S111141,Cambridge University Trinity College,119148995978659751937,Capell R.19[2],-sig. K4,null,
S111141,Cambridge University Trinity College,119148995978659751937,Capell R.19[2],#ERROR!,null,
S111141,Folger Shakespeare,427145424588186831488,STC 22312 Copy 2,"cs0443. Wanting the blank leaf. Red goatskin binding, signed by Frank Bedford.","James Orchard Halliwell-Phillipps copy; inscribed on front free endpaper: ""Halliwell's Sale 13 June 1859 Lot 339 ...""; Sir William Tite (with his MS. sale note and autograph) copy",
S111141,Folger Shakespeare,427145424588186831488,STC 22312 Copy 1,"cs0900. The title leaf and several other leaves are repaired in the margins. Red goatskin binding, signed by Hayday.","armorial bookplate of William Gott (motto ""nec temere nec timide"")",
S111139,"Yale University, Beinecke Rare Book and Manuscript Library",146865135,Eliz 178,"Eliz 178: Bound by F. Bedford in crimson goatskin, gold tooling on cover and spine, gilt edges. The Huth copy (with bookplate) acquired by Mr. Cochran in November 1911 prior to the public sale. Gift of Alexander S. Cochran, December 1911.",null,
S111139,Henry E. Huntington Library and Art Gallery,147236009,69340,"-Blank; sigs.C,D from 1615 edition.",bookplates of Frederick Locker and E.D. Church,
S111139,British Library,149072094,C.34.k.43,null,null,
S111139,Harvard University Houghton Library,150194316,STC 22310,"Issue uncertain. ; Imperfect: lacks title-page. ; White copy. H.C. Bartlett &amp; A.W. Pollard, Census, p. 84 (no. 691.)",null,
S111139,Texas Christian University,167892198,[Shelfmark not available],[CM],null,
S111139,Folger Shakespeare,427145424588186831488,STC 22310,"cs0822. Dark red goatskin binding, signed by Riviere &amp; Son.",collated at Quaritch by F.S. Ferguson,
S111138,"Oxford University, Bodleian Library",129788129,Arch. G d.45 (4),null,null,
S111138,"Boston Public, Main",133435180,[Shelfmark not available],[CM],null,
S111138,Henry E. Huntington Library and Art Gallery,147236009,69341,Binding signed by F. Bedford.,signatures of George Steevens and William Tite (MS. note); stamp of Roxburghe arms; Daniel copy; bookplates of Frederick Locker and E.D. Church,
S111138,Henry E. Huntington Library and Art Gallery,147236009,69342,binding signed by C. Murton,bookplate of the Bridgewater library,
S111138,British Library,149072094,C.34.k.42,null,null,
S111138,Cambridge University Trinity College,119148995978659751937,Capell R.22[5],null,null,
S111138,Folger Shakespeare,427145424588186831488,STC 22308 Copy 2,"cs82. Imperfect: wanting leaves B2-4, G4, H1. There is a variant (uncorrected duplicate line) on I3v. MS. list of characters on A1v. A few marginal MS. notes and markings. Some leaves are damaged and repaired, affecting text. Stained. Red goatskin binding.","MS. marking (of provenance?) on t.p. is stained (crossed-out?), affecting legibility; armorial bookplate of John Fitchett Marsh (motto ""prest pour mon pais""); Richard Heber copy (without the Heber markings); Charles H. Kalbfleisch copy (Folger file)",
